date,type,category,description,amount,payment_method
2024-01-03,income,Salary,Monthly salary - TCS,82000,bank_transfer
2024-01-05,expense,Rent,House rent January,18000,bank_transfer
2024-01-06,expense,Groceries,BigBasket monthly order,3200,upi
2024-01-07,expense,Transport,Ola/Uber rides,1100,upi
2024-01-08,expense,Food & Dining,Swiggy + Zomato orders,2400,upi
2024-01-10,expense,Utilities,Electricity + Internet bill,1800,upi
2024-01-12,expense,Entertainment,Netflix + Hotstar,649,credit_card
2024-01-14,expense,Shopping,Myntra sale haul,3800,credit_card
2024-01-15,income,Freelance,React dashboard project,15000,bank_transfer
2024-01-18,expense,Health,Apollo pharmacy + gym,2200,upi
2024-01-20,expense,Education,Coursera subscription,2499,credit_card
2024-01-22,expense,Food & Dining,Office lunch + chai,1200,cash
2024-01-25,expense,Groceries,DMart weekend grocery,1800,upi
2024-01-28,expense,Transport,Monthly metro card recharge,500,upi
2024-01-30,expense,Savings,RD installment,5000,bank_transfer
2024-02-01,income,Salary,Monthly salary - TCS,82000,bank_transfer
2024-02-03,expense,Rent,House rent February,18000,bank_transfer
2024-02-05,expense,Groceries,BigBasket order,2900,upi
2024-02-07,expense,Transport,Cab + auto rides,950,upi
2024-02-09,expense,Food & Dining,Valentine dinner + orders,3100,credit_card
2024-02-10,expense,Utilities,Electricity bill,1600,upi
2024-02-12,expense,Entertainment,Movie tickets PVR,800,credit_card
2024-02-14,expense,Shopping,Gifts + personal shopping,4500,credit_card
2024-02-16,income,Freelance,Logo design work,5000,upi
2024-02-18,expense,Health,Doctor visit + medicines,1500,cash
2024-02-20,expense,Education,Udemy courses,1299,credit_card
2024-02-22,expense,Food & Dining,Team outing lunch,2200,credit_card
2024-02-25,expense,Savings,RD installment,5000,bank_transfer
2024-02-28,expense,Miscellaneous,House maintenance,2000,cash
2024-03-01,income,Salary,Monthly salary - TCS,82000,bank_transfer
2024-03-02,income,Bonus,Performance bonus Q4,20000,bank_transfer
2024-03-04,expense,Rent,House rent March,18000,bank_transfer
2024-03-06,expense,Groceries,BigBasket + local market,3500,upi
2024-03-07,expense,Transport,Cab rides,1300,upi
2024-03-09,expense,Food & Dining,Swiggy orders,1900,upi
2024-03-10,expense,Utilities,Internet + electricity,1900,upi
2024-03-12,expense,Entertainment,Spotify + Netflix,1149,credit_card
2024-03-14,expense,Shopping,Holi shopping,2800,upi
2024-03-15,income,Freelance,Python automation script,8000,bank_transfer
2024-03-18,expense,Health,Annual checkup,3500,credit_card
2024-03-20,expense,Education,Book purchase + notes,800,upi
2024-03-22,expense,Travel,Weekend Pune trip,6000,credit_card
2024-03-25,expense,Savings,RD installment,5000,bank_transfer
2024-03-28,expense,Food & Dining,Birthday dinner,3500,credit_card
2024-04-01,income,Salary,Monthly salary - TCS,82000,bank_transfer
2024-04-03,expense,Rent,House rent April,18000,bank_transfer
2024-04-05,expense,Groceries,BigBasket,2700,upi
2024-04-06,expense,Transport,Cab + fuel reimbursement,1200,upi
2024-04-08,expense,Food & Dining,Zomato gold orders,2100,upi
2024-04-10,expense,Utilities,Bills,1700,upi
2024-04-12,expense,Entertainment,Streaming + OTT,649,credit_card
2024-04-14,expense,Shopping,Summer clothes,5200,credit_card
2024-04-15,income,Freelance,Data analysis project,22000,bank_transfer
